"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"SynCntxt.rtf","2017-08-17 20:04:50 SGT","2018-01-09 07:20:15 SGT","2017-08-17 20:04:50 SGT","2017-08-17 20:04:50 SGT","12809443","Allocated","Allocated","unknown","/img_202.dd/Program Files/Synaptics/SynTP/SynCntxt.rtf","262efa2fe34f4de7e340f3d3edebd2ac","b4edffd3b73bdaec94a6ba60bc1937712adeeeb2668891c34614fdd182c14f30","application/rtf","rtf"
"credits.rtf","2017-03-18 10:03:38 SGT","2017-05-10 01:28:13 SGT","2017-03-19 10:28:54 SGT","2017-03-19 10:27:01 SGT","278216","Allocated","Allocated","unknown","/img_202.dd/Windows/Help/en-US/credits.rtf","301b587bdd1b3cdfaf0a90fbd193b9de","ae2a87af0a8ddad282e79e3c5c7f864a51b897dbf877681b8845ea07af62b9ae","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/en-US/Licenses/OEM/Core/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/en-US/Licenses/Volume/Core/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/en-US/Licenses/_Default/Core/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"lipeula.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:51 SGT","2017-03-19 10:27:13 SGT","980","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/en-US/lipeula.rtf","3b18697b64e7f3de04c966b9ecf2f67e","2aa72d5284dbe2a38d92cef68d084d4f689f9928db0cd1fe0a207ada2d10f5fc","application/rtf","rtf"
"lpeula.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:51 SGT","2017-03-19 10:27:13 SGT","980","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/en-US/lpeula.rtf","3b18697b64e7f3de04c966b9ecf2f67e","2aa72d5284dbe2a38d92cef68d084d4f689f9928db0cd1fe0a207ada2d10f5fc","application/rtf","rtf"
"license.rtf","2017-05-09 07:51:40 SGT","2017-05-09 07:51:40 SGT","2017-05-09 07:51:40 SGT","2017-05-09 07:51:40 SGT","38217","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/license.rtf","ae7c9248dd50341cb539f7ac602953d1","371e8c30c0dc7c54061931123ab4ba5d7da3312a616bcf81699e2a106a4b2608","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:41 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:41 SGT","2017-03-19 04:59:41 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/Licenses/neutral/OEM/Core/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:41 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:41 SGT","2017-03-19 04:59:41 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/Licenses/neutral/Volume/Core/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:41 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:41 SGT","2017-03-19 04:59:41 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/Licenses/neutral/_Default/Core/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"privacy.rtf","2017-01-19 11:06:58 SGT","2017-05-10 01:28:13 SGT","2017-03-19 10:28:54 SGT","2017-03-19 10:27:01 SGT","47224","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-h..atement_r.resources_31bf3856ad364e35_10.0.15063.0_en-us_6846b408cda4d952/privacy.rtf","e159b8bd6f48f40067847be13f7a68c1","1b35554a0fb88f013507e2194522063acc456b44f1b07e54b944dc2f75e2e9ec","application/rtf","rtf"
"OOBE_HELP_Opt_in_Details.rtf","2017-02-11 02:34:22 SGT","2017-05-10 01:28:13 SGT","2017-03-19 10:28:54 SGT","2017-03-19 10:27:01 SGT","9786","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-h..indetails.resources_31bf3856ad364e35_10.0.15063.0_en-us_0fbae3168dc4166c/OOBE_HELP_Opt_in_Details.rtf","5826a50b52300f02d2df5be5e1b3de22","361bf980c2e91691a61aff2a4a555c8cddf77e3f53746a5af7e4f20e68c3f1c9","application/rtf","rtf"
"OOBE_HELP_Cortana_Learn_More.rtf","2017-02-11 02:34:22 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:54 SGT","2017-03-19 10:27:01 SGT","94130","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-h..learnmore.resources_31bf3856ad364e35_10.0.15063.0_en-us_d52f3b6fd769505b/OOBE_HELP_Cortana_Learn_More.rtf","e8ee42f27a9ac2588bb36fb2e7a70060","a6f8f3fe93903468b099173751c98e279bcf761437080797fb652fa6e9a3ea60","application/rtf","rtf"
"vofflps.rtf","2017-01-19 11:06:58 SGT","2017-05-10 01:28:13 SGT","2017-03-19 10:28:46 SGT","2017-03-19 10:27:01 SGT","47224","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-h..statement.resources_31bf3856ad364e35_10.0.15063.0_en-us_41454b4c36518bb9/vofflps.rtf","e159b8bd6f48f40067847be13f7a68c1","1b35554a0fb88f013507e2194522063acc456b44f1b07e54b944dc2f75e2e9ec","application/rtf","rtf"
"credits.rtf","2017-03-18 10:03:38 SGT","2017-05-10 01:28:13 SGT","2017-03-19 10:28:54 SGT","2017-03-19 10:27:01 SGT","278216","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-help-credits.resources_31bf3856ad364e35_10.0.15063.0_en-us_bf809a311cf16bff/credits.rtf","301b587bdd1b3cdfaf0a90fbd193b9de","ae2a87af0a8ddad282e79e3c5c7f864a51b897dbf877681b8845ea07af62b9ae","application/rtf","rtf"
"lipeula.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:46 SGT","2017-03-19 10:27:01 SGT","980","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..-lpksetup.resources_31bf3856ad364e35_10.0.15063.0_en-us_0d9bfbee7ca99c5b/lipeula.rtf","3b18697b64e7f3de04c966b9ecf2f67e","2aa72d5284dbe2a38d92cef68d084d4f689f9928db0cd1fe0a207ada2d10f5fc","application/rtf","rtf"
"lpeula.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:46 SGT","2017-03-19 10:27:01 SGT","980","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..-lpksetup.resources_31bf3856ad364e35_10.0.15063.0_en-us_0d9bfbee7ca99c5b/lpeula.rtf","3b18697b64e7f3de04c966b9ecf2f67e","2aa72d5284dbe2a38d92cef68d084d4f689f9928db0cd1fe0a207ada2d10f5fc","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:01 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_c11fe3b5b3718ee6/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","1044","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..-volume-enterpriseg_31bf3856ad364e35_10.0.15063.0_none_03dfbce7ce6c7c9b/license.rtf","efbdb9e542e0765ead8e735c2b322fe6","e6af677793be0d1d8541cc73ffb7e8b968253cd47a2e00cc2adbbc02debb926d","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:01 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..-oem-core.resources_31bf3856ad364e35_10.0.15063.0_en-us_0751b2ac9de45642/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:01 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..ault-core.resources_31bf3856ad364e35_10.0.15063.0_en-us_65b8a7db6afd5f02/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:11 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:11 SGT","2017-03-19 04:59:11 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..e-default-education_31bf3856ad364e35_10.0.15063.0_none_583714c8fb0bc3bc/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_4cc7ffaae9882c29/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:01 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_973dd5e36b942355/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:01 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_b3864d00b112a36a/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:01 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_bf5288d50ecd604f/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:02 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_d648801a8a8cc68c/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..efault-professional_31bf3856ad364e35_10.0.15063.0_none_abff412d15fd4a55/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..fessional.resources_31bf3856ad364e35_10.0.15063.0_en-us_0538c30feebab150/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:02 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..fessional.resources_31bf3856ad364e35_10.0.15063.0_en-us_6ea37e799200acf7/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-02-04 08:30:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:02 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..fessional.resources_31bf3856ad364e35_10.0.15063.0_en-us_b0640d500e5b5a10/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..lume-core.resources_31bf3856ad364e35_10.0.15063.0_en-us_fbce0501b87cdc15/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..nse-oem-enterpriseg_31bf3856ad364e35_10.0.15063.0_none_a8c7a1210b85aec8/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..ofessionaleducation_31bf3856ad364e35_10.0.15063.0_none_1d3b5ab827e8b858/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..ofessionaleducation_31bf3856ad364e35_10.0.15063.0_none_b33228194f9eaed1/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..ofessionaleducation_31bf3856ad364e35_10.0.15063.0_none_ed140889c12e0685/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:11 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:11 SGT","2017-03-19 04:59:11 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-license-oem-education_31bf3856ad364e35_10.0.15063.0_none_19982b63b9db2508/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-l..se-oem-professional_31bf3856ad364e35_10.0.15063.0_none_7b455facac3a5dcd/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
